أ.	a.
نونيز	nunez
نونكال	nungal
نونو	nuno
نوراي	nuray
نوربانو	nurbanu
نورالدين	nureddin
نورينبيرغ	nurenberg
نورييف	nureyev
نورغالييف	nurgaliyev
نوريا	nuria
نورمي	nurmi
نرس	nurse
النورسي	nursi
نوسباوم	nussbaum
نسيبة	nusseibeh
نوسوم	nusum
نطل	nuttall
نواس	nuwas
نياركو	nyarko
نياثي	nyathi
نيبرج	nyberg
ناي	nye
نيريري	nyerere
نيجارد	nygaard
نيغورسفول	nygaardsvold
نيلاسي	nyilasi
نوكانن	nykanen
نيوم	nyom
نايكست	nyquist
نزاما	nzama
أوبلانس	o'ballance
أوبويل	o'boyle
أوبرين	o'brien
أوكالاهان	o'callaghan
أودونيس	o'donis
أودونيل	o'donnell
أوفاريل	o'farrell
أوجورمان	o'gorman
أوهالرون	o'halloran
أوهارا	o'hara
أوهيغينز	o'higgins
أوليري	o'leary
أولوغلن	o'loughlin
اومالي	o'malley
أونيل	o'neil
أورايلي	o'reilly
أوشي	o'shea
اوسيلفيان	o'sullivan
اوعيسى	oaissa
أواكس	oaks
اور	oar
أوتس	oates
أوبافيمي	obafemi
أوباما	obama
أوباندو	obando
أوباسانجو	obasanjo
عبادي	obbadi
عبيدات	obeidat
أوبيرج	oberg
أوبيرتان	obertan
أوبيرتو	oberto
أوبيانغ	obiang
أوبينا	obinna
أوبلاك	oblak
أوبودو	obodo
أوبوتي	obote
أوبرادور	obrador
أوبرادوفيتش	obradovic
أوبرانياك	obraniak
أوبريغون	obregon
أوبوا	obua
أوجلان	ocalan
أوكامبوس	ocampos
أوتليك	ochlik
أوشمان	ochmann
أوتشس	ochs
أوكيغهيم	ockeghem
أوكتافيا	octavia
أودا	oda
أوداباسي	odabasi
أوديغارد	ødegaard
أوديموينغي	odemwingie
أودينكيرك	odenkirk
أوديشو	odisho
أودونكور	odonkor
أورتر	oerter
يوش	oesch
عفيش	ofeich
أوفنباخ	offenbach
أوفرمان	offerman
عوفرا	ofra
أوغاساوارا	ogasawara
أوغاتا	ogata
أوجلثورب	oglethorpe
أوغستون	ogston
أوغونجيمي	ogunjimi
أوغورا	ogura
أوهانسيان	ohanessian
أوحيون	ohayon
أوهيرا	ohira
الأوخريدي	ohrid
أوشاوا	ohsawa
أوكادا	okada
أوكاكا	okaka
أوكاموتو	okamoto
أوكانو	okano
عكاشة	okasha
أوكازاكي	okazaki
أوكيتولا	oketola
اوخلوبيستين	okhlobystin
أوكينا	okina
أوكاس	okkas
أوكورو	okoro
أوكطار	oktar
أوكوياما	okuyama
علا	ola
أولاف	olaf
أولايزولا	olaizola
عليوان	olajuwon
أولانو	olano
العليان	olayan
أولزابال	olazabal
أولازار	olazar
أولبرمان	olbermann
أولدفيلد	oldfield
أولدهام	oldham
أولدمان	oldman
أوليغ	oleg
أولمبي	olembe
ألفة	olfa
أولغا	olga
أولين	olin
أولينجا	olinga
أوليفا	oliva
أوليفاريس	olivares
أوليفاس	olivas
أوليفيراس	oliveras
أولميدو	olmedo
أولمرت	olmert
أولميتا	olmeta
أولمو	olmo
أولموس	olmos
أولني	olney
أولوف	olof
أولسن	olsen
أولسون	olsson
أولشيفسكي	olszewski
أولينيك	olynyk
اوم	om
عمر	omar
أوميرا	omayra
أميديار	omidyar
أوموتويوسي	omotoyossi
أوموزوسي	omozusi
أوناسيس	onassis
أونداما	ondama
أونديمبا	ondimba
اوندوا	ondoa
أوندروس	ondrus
أونفراي	onfray
أونيانغي	oniangue
اونيروكيو	oniroku
أونيشي	onishi
أونوساكا	onosaka
أونوزوكا	onozuka
أونساغر	onsager
الأنسي	onsi
أوفت	ooft
أووكا	ooka
أونا	oona
أورت	oort
أوستويزن	oosthuizen
أوسترم	oostrum
أوباري	opare
أوبتز	opitz
أوبنهايم	oppenheim
العرابي	orabi
عريبي	oraibi
أورانتس	orantes
أوربايز	orbaiz
أورباي	orbay
أوردا	orda
أوريلانا	orellana
أورين	oren
أورينجا	orenga
اورينتريك	orentreich
أورسمه	oresme
أوريستيس	orestes
أورفيلد	orfield
أوريالي	oriali
أوريكاسا	orikasa
أوريول	oriol
أورلانديني	orlandini
أورلاندو	orlando
أورلاندوني	orlandoni
أورليان	orleans
أورلاي	orley
أورلوفا	orlova
أورسي	orsi
أورسيني	orsini
أورتيغا	ortega
أورتيليوس	ortelius
أورتيغوزا	ortigoza
أورتيز	ortiz
أورتن	orton
أورتوبي	ortube
أورويل	orwell
أوسايل	osael
أوساكا	osaka
اوساكو	osako
أسامة	osama
أوسامو	osamu
أوسان	osann
أوسانو	osano
أوسبرن	osborne
أوسكار	oscar
أوسكارينو	oscarino
أوسيلا	osella
أوشيروف	osheroff
أوسيم	osim
أوسلر	osler
عثمان	osman
عصماني	osmani
أوسمنت	osment
أوزموند	osmond
أوسورنو	osorno
أوسبينا	ospina
عسيران	osseiran
أوسيس	osses
أوسيتزكي	ossietzky
أوستابينكو	ostapenko
أوسترغارد	østergaard
أوستيا	ostia
أوستروفسكي	ostrowski
أوستفالد	ostwald
أوزفالدو	osvaldo
أوسفارت	osvart
أوزوالد	oswald
أوتا	ota
أوتلورا	otalora
أوتامندي	otamendi
عطري	otari
أوتيرو	otero
اوتليه	otlet
أوتويا	otoya
أوتسكا	otsuka
أوت	ott
قطة	otta
أوتل	ottl
أوتوكار	ottokar
أوتونغا	otunga
أوطيام	otyam
وضاحي	ouadahi
واليمبو	oualembo
الورياغلي	ouaraghli
الواريتي	ouariti
وعزيز	ouaziz
أوودينداج	oudendag
أودني	oudni
الوسلاتي	oueslati
وطار	ouettar
أوفقير	oufkir
أوتريد	oughtred
أوحادي	ouhadi
ولد	ould
أولحاج	oulhaj
اولمو	oulmou
أوما	ouma
أوس	ous
أوصالح	oussalah
أوتن	outen
اوتربريج	outerbridge
أوفاديا	ovadia
أوفرمارس	overmars
أفريبو	øvrebø
أوين	owen
أوينز	owens
أووينو	owino
أووموييلا	owomoyela
أوونا	owona
أكسنسترنا	oxenstierna
أويا	oya
عوز	oz
أوزاكي	ozaki
أوزاوا	ozawa
أوزغي	ozge
أوزتكين	oztekin
أوزتونالي	oztunalı
بآسيلينا	paasilinna
بآسيو	paasio
بآفولا	paavola
بابلو	pablo
الباجه	pachachi
باتشيلبيل	pachelbel
باشوليا	pachulia
باكارد	packard
بادالكي	padalecki
بادالينو	padalino
بادوين	padoin
بادوفاني	padovani
بادرون	padron
بادروس	padros
بادواي	padway
نيون	paengnyeon
باجاني	pagani
باجت	paget
باجيس	pagis
بانياني	pagnani
بانيول	pagnol
باهور	pahor
بايلوت	paillot
بنتسيل	paintsil
بايريتو	pairetto
بايزلي	paisley
باجيتنوف	pajitnov
باخون	pajon
بقرادوني	pakradouni
بكراوان	pakravan
بالاسيو	palacio
بالاسيوس	palacios
بولانيك	palahniuk
بالوجينا	palaiologina
بالانس	palance
بالاتينات	palatine
بالنسيا	palencia
باليتا	paletta
بالين	palin
بالادينو	palladino
بالاديو	palladio
باليستر	pallister
بالما	palma
بالمه	palme
بالمر	palmer
بالومو	palomo
بالوب	palop
بالوسكي	paloschi
بالوتاي	palotai
بالوتاش	palotas
بالوبينسكاس	palubinskas
بالومبو	palumbo
بالون	palun
بامبيانكو	pambianco
باميلا	pamela
باموق	pamuk
باناباكر	panabaker
بناهي	panahi
بانشو	pancho
بنكوست	pancoast
بانكسيكس	pancsics
باندينولف	pandenulf
باندر	pander
بانديف	pandev
باندياني	pandiani
بانديون	pandion
باندولفو	pandolfo
باندولف	pandulf
بانينكا	panenka
بانيرو	panero
بانيتا	panetta
بانتير	panettiere
بانيني	panini
بانيس	panis
بانكراتوفا	pankratova
بانوف	panov
بانتاني	pantani
بانتيليتش	pantelic
بانتوليانو	pantoliano
بانزا	panza
باوليني	paolini
باباديموس	papademos
بابادوبولوس	papadopoulos
بابادوبولو	papadopulo
باباكولي	papakouli
باباندريو	papandreou
بابانيكولاو	papanikolaou
باباريزو	paparizou
باباس	papas
بابن	papen
بابيس	papiss
بابارت	pappaert
باكوين	paquin
بارادي	paradis
باراجيس	parages
باركاك	parcak
باردي	pardee
بارديزا	pardeza
باردينياس	pardinas
باردو	pardo
باريه	pare
باريديس	paredes
باريخا	pareja
بارفيت	parfitt
باريدهي	paridhi
باريتي	parietti
بارنيتي	parineeti
باريس	paris
بارك	park
باركر	parker
باركنسون	parkinson
بارما	parma
بارنابي	parnaby
بارنيل	parnell
بارولا	parola
بارولو	parolo
بربولا	parpola
بار	parr
باريش	parrish
بارسونز	parsons
بارفانوف	parvanov
باسانن	pasanen
باشانسكي	pasanski
باساريل	pasarell
باسكال	pascal
باشن	paschen
باسكولو	pascolo
باسكوال	pascual
باسدار	pasdar
باشا	pasha
باشايي	pashaei
بسخاني	pasikhani
بازوليني	pasolini
باسكوالي	pasquale
باسكواليتي	pasqualetti
باسكوالينو	pasqualino
باساريلا	passarella
باسيلو	passello
باسيانوس	passianos
باستل	pastal
باسترناك	pasternak
باستير	pasteur
باستون	paston
باستور	pastor
باستوري	pastore
بسترانا	pastrana
باستريش	pastreich
باسولكو	pasulko
بات	pat
باتاكي	pataky
باتش	patch
بيتكار	patekar
باتينود	patenaude
باتيرنوستر	paternoster
باتوكا	patocka
باتريا	patria
باتريسيا	patricia
باتريسيو	patricio
باتريك	patrick
باتساتزوغلو	patsatzoglou
باتسي	patsy
باتن	patten
باتينسون	pattinson
باتون	patton
باتزايكين	patzaichin
باو	pau
باولا	paula
باولينا	paulina
باولنغ	pauling
باولينو	paulino
بولسون	paulson
باولوس	paulus
باوسانياس	pausanias
باوش	pausch
بافاريني	pavarini
بافاروتي	pavarotti
بافل	pavel
بافيلتشينكو	pavlichenko
بافلوف	pavlov
بافولوفا	pavlova
بافليوتشينكو	pavlyuchenko
بافول	pavol
بافون	pavon
باكستون	paxton
باين	payne
باينتر	paynter
بازدان	pazdan
بازينزا	pazienza
بيسانيا	pecanha
بيشيرسكي	pechersky
بيخشستاين	pechstein
بيكهام	peckham
بيديمونتي	pedemonte
بيدرسن	pedersen
بيدريتي	pedretti
بيدرو	pedro
بيدروسا	pedrosa
بيغي	peggy
بيجرام	pegram
بيرسول	peirsol
بيكاريك	pekarik
بيكرمان	pekerman
بيكهارت	pekhart
بكا	pekka
بكتماك	pektemek
بلهام	pelham
بلا	pellat
بيلجرين	pellegrin
بلغريني	pellegrini
بيليغرينو	pellegrino
بيليرانو	pellerano
بلتيير	peltier
بيلتز	peltz
بيلوسو	peluso
بيمبر	pember
بيمبرتون	pemberton
بينا	pena
بينافيل	penafiel
بينالبا	penalba
بيندليتون	pendleton
بينيلا	penella
بينغيل	pengel
بناك	pennac
بيني	penny
بنتي	pentti
بينتي	penty
بينزو	penzo
بير	per
بيرابو	perabo
بيرالبا	peralba
برسيفال	perceval
بيرسي	percy
بيرديكاس	perdiccas
بيردونيه	perdonnet
بيردو	perdue
بيريدا	pereda
فيريدنيك	perednik
بيريرا	pereira
بيريرينها	pereirinha
بيريتز	peretz
بيريز	perez
بيرغوليزي	pergolesi
بيرهام	perham
بيركن	perkin
بيركنز	perkins
بيرليس	perlis
بيرلمان	perlman
بيرلموتر	perlmutter
بيرنيا	pernia
برنيولا	perniola
بيروت	perot
بيروز	peroz
بيران	perrin
بيريناو	perrineau
بيرينيل	perrinelle
بيرون	perron
بيروتا	perrotta
بيرسبراندت	persbrandt
بيرسيوس	perseus
بيرثيل	perthel
برتيني	pertini
بيروتس	perutz
برويز	pervez
بيسارودونا	pesarrodona
بيسكارولو	pescarolo
بيشل	peschel
بوسكيسوليدو	peschisolido
بسنتي	pesenti
بيسوا	pessoa
بستالوتزي	pestalozzi
بيزيك	peszek
بيتانيا	petagna
بيتان	petain
بيتيل	petel
بيتر	peter
بيتركين	peterkin
بيترز	peters
بيترسن	petersen
بيترسون	peterson
بثرك	petherick
بتيبا	petipa
بيتوفي	petofi
بيترا	petra
بتريوس	petraeus
بيتري	petre
بتري	petri
بيتريا	petria
بيتروني	petrone
بيترونيلا	petronilla
بترو	petrou
بيتروف	petrov
بتروفا	petrova
بيترجيلا	petrzela
بيتيناتو	pettinato
باتيس	pettis
بيتيفر	pettyfer
بيتولا	petula
بويتينغر	peutinger
بيرفيت	peyrefitte
بايتون	peyton
بيزاروسي	pezzarossi
بيزي	pezzey
بيزولانو	pezzolano
بفاف	pfaff
بفانكوتش	pfannkuch
فايفر	pfeiffer
بفينينجير	pfenninger
بفيرتزل	pfertzel
بفيستر	pfister
بفلوغلر	pflugler
فيلبس	phelps
فيلاندر	philander
فيلبي	philby
فلبس	phleps
بياله	piali
بيكارد	piccard
بيكاردو	piccardo
بيشوشكين	pichushkin
بيكرنج	pickering
بيكفورد	pickford
بييترو	pietro
بيتروس	pietrus
بيلجر	pilger
بيلغوي	pilguy
بيلود	pillud
بيم	pim
بيمينوفا	pimenova
بينال	pinal
بينايفا	pinayeva
بنحاس	pinchas
بينل	pinel
بينييس	pinies
بينيلوس	pinillos
بينكر	pinker
بينكرتون	pinkerton
بينكستون	pinkston
بينولا	pinola
بينسنت	pinsent
بینسكر	pinsker
بنتر	pinter
بينتيليه	pintilie
بينتو	pinto
بيولا	piola
بيونتيك	piontek
بيوتروفسكي	piotrovsky
بيرانديلو	pirandello
بيرانيزي	piranesi
بيرلو	pirlo
بيروني	pironi
بيروفانو	pirovano
بيزانو	pisano
بيسبرس	pispers
بيستوني	pistone
بيستوريوس	pistorius
بيتانا	pitana
بيتاو	pitau
بيتول	pitol
بيترويبا	pitroipa
بيفوفاروفا	pivovarova
بيزان	pizan
بينار	pınar
بلاتجيس	plaatjies
بلاسينتي	placente
بلامين	plamen
بلانا	plana
بلانشون	planchon
بلانكايرت	planckaert
بلانيتشكا	planicka
بلانتي	plante
بلانتينغا	plantinga
بلانوس	planus
بلاشيل	plasil
بلاسكيت	plaskett
بلاتا	plata
بلاتيني	platini
بلات	platt
بلاتزر	platzer
بلاوتز	plautz
بلاير	player
بلاثا	plaza
بليمنز	plemons
بليسين	plessen
بليسيرز	plessers
بليسيس	plessis
بليستان	plestan
بلينيوس	pliny
بليستسكايا	plisetskaya
بلوتز	ploetz
بلاورايت	plowright
بلوملي	plumlee
بلامر	plummer
بلانكيت	plunkett
بليوشتش	plyushch
بنولي	pnueli
